Subject,Class,Movement,eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,imp_eeg_esg,imp_esg_emg,chain_score,EEG_name,ESG_name,EMG_name,ESG_match,EMG_match
NIS005,2,Right Knee Flexion,4,1,2,EEG4,ESG1,EMG2,0.0006518176523968,0.0032570837065577,2.123024655268529e-06,Fz,T11T12-L,L-RF,no,no
NIS005,2,Right Knee Flexion,20,1,2,EEG20,ESG1,EMG2,0.0006378090474754,0.0032570837065577,2.0773974564274305e-06,Pz,T11T12-L,L-RF,no,no
NIS005,2,Right Knee Flexion,18,4,2,EEG18,ESG4,EMG2,0.0006078325677663,0.0033855382353067,2.0578403988375134e-06,CP4,L2L3-L,L-RF,no,no
NIS005,2,Right Knee Flexion,11,1,2,EEG11,ESG1,EMG2,0.0006263127434067,0.0032570837065577,2.0399530317595877e-06,C1,T11T12-L,L-RF,no,no
NIS005,2,Right Knee Flexion,12,1,2,EEG12,ESG1,EMG2,0.0006151824491098,0.0032570837065577,2.0037007315559926e-06,Cz,T11T12-L,L-RF,no,no
NIS005,2,Right Knee Flexion,22,1,2,EEG22,ESG1,EMG2,0.0006107572698965,0.0032570837065577,1.9892875524418025e-06,PO3,T11T12-L,L-RF,no,no
NIS005,2,Right Knee Flexion,1,1,2,EEG1,ESG1,EMG2,0.0006105226348154,0.0032570837065577,1.9885233263420275e-06,Fpz,T11T12-L,L-RF,no,no
NIS005,3,Right Plantar Flexion,2,1,1,EEG2,ESG1,EMG1,0.0013560180086642,0.0062600211240351,8.488701378810246e-06,Fp2,T11T12-L,R-MH,no,no
NIS005,3,Right Plantar Flexion,0,1,1,EEG0,ESG1,EMG1,0.0012729909503832,0.0062600211240351,7.968950240104663e-06,Fp1,T11T12-L,R-MH,no,no
NIS005,3,Right Plantar Flexion,23,1,1,EEG23,ESG1,EMG1,0.0012536719441413,0.0062600211240351,7.848012852935266e-06,POz,T11T12-L,R-MH,no,no
NIS005,3,Right Plantar Flexion,20,1,1,EEG20,ESG1,EMG1,0.0012192509602755,0.0062600211240351,7.632536766824928e-06,Pz,T11T12-L,R-MH,no,no
NIS005,3,Right Plantar Flexion,25,1,1,EEG25,ESG1,EMG1,0.0012188503751531,0.0062600211240351,7.630029095496689e-06,T7,T11T12-L,R-MH,no,no
NIS005,3,Right Plantar Flexion,2,7,1,EEG2,ESG7,EMG1,0.0012425917666405,0.0057363919913768,7.127993458707661e-06,Fp2,T12L1-C,R-MH,no,no
NIS005,3,Right Plantar Flexion,16,1,1,EEG16,ESG1,EMG1,0.0011293506249785,0.0062600211240351,7.06975876880794e-06,CP3,T11T12-L,R-MH,no,no
NIS005,3,Right Plantar Flexion,13,1,1,EEG13,ESG1,EMG1,0.0011205258779227,0.0062600211240351,7.014515665824559e-06,C2,T11T12-L,R-MH,no,no
NIS005,3,Right Plantar Flexion,4,1,1,EEG4,ESG1,EMG1,0.0010870681144297,0.0062600211240351,6.805069359595026e-06,Fz,T11T12-L,R-MH,no,no
NIS005,3,Right Plantar Flexion,0,7,1,EEG0,ESG7,EMG1,0.0011665095807984,0.0057363919913768,6.69155621715661e-06,Fp1,T12L1-C,R-MH,no,no
NIS006,0,Left Knee Flexion,27,2,2,EEG27,ESG2,EMG2,0.0011554413940757,0.001557916868478,1.8000816383684185e-06,T8,T12L1-L,L-RF,YES,YES
